iter	Huber:delta=0.5
372	0.126133938
373	0.1261032184
374	0.1260903444
375	0.1260659642
376	0.1260538601
377	0.1260376397
378	0.1260097435
379	0.1259965558
380	0.1259843402
381	0.1259574315
382	0.1259241902
383	0.1259104032
384	0.1258970512
385	0.1258757146
386	0.1258620119
387	0.1258475561
388	0.125823638
389	0.1258094134
390	0.1257855033
391	0.1257743439
392	0.1257481287
393	0.125730137
394	0.1257087437
395	0.1256713
396	0.1256556884
397	0.1256370494
398	0.1256161503
399	0.1256090717
400	0.1255957938
401	0.1255801129
402	0.1255588801
403	0.1255412873
404	0.1255336528
405	0.1255151324
406	0.1255025524
407	0.1254887416
408	0.1254721164
409	0.1254593015
410	0.1254439285
411	0.1254139513
412	0.1254002877
413	0.1253839906
414	0.1253674263
415	0.1253562573
416	0.1253330588
417	0.1253236505
418	0.1253023484
419	0.1252816818
420	0.1252625799
421	0.1252436246
422	0.125231221
423	0.1252110362
424	0.1251968203
425	0.1251874193
426	0.1251481335
427	0.12512925
428	0.1251179953
429	0.1250954329
430	0.1250777081
431	0.1250624215
432	0.1250481518
433	0.1250346486
434	0.1250166828
435	0.1249830634
436	0.1249351333
437	0.1249111588
438	0.1249043654
439	0.1248707727
440	0.1248513479
441	0.1248336196
442	0.1248221929
443	0.1247921392
444	0.1247817527
445	0.1247598615
446	0.1247496903
447	0.124722007
448	0.124692619
449	0.1246797144
450	0.1246499816
451	0.1246304021
452	0.1246017116
453	0.1245872682
454	0.1245659906
455	0.1245482692
456	0.1245172507
457	0.1244994247
458	0.1244853223
459	0.1244721103
460	0.1244497684
461	0.1244430724
462	0.1244286948
463	0.1244107093
464	0.1244020527
465	0.1243947503
466	0.1243803496
467	0.124362951
468	0.12435622
469	0.1243324689
470	0.1243255834
471	0.1243137696
472	0.1242980009
473	0.1242794749
474	0.1242674919
475	0.1242593896
476	0.1242339127
477	0.1242136508
478	0.1241918714
479	0.1241570074
480	0.1241434071
481	0.124134947
482	0.1241169933
483	0.1241013375
484	0.1240565356
485	0.1240356031
486	0.1240173425
487	0.1240001791
488	0.1239719827
489	0.1239570749
490	0.1239424484
491	0.1239294159
492	0.1239024793
493	0.1238867621
494	0.1238590163
495	0.1238438196
496	0.123818407
497	0.123809043
498	0.1237868403
499	0.1237735102
500	0.1237475342
501	0.1237210019
502	0.1236991147
503	0.1236904901
504	0.1236568897
505	0.1236407503
506	0.1236306301
507	0.1236121683
508	0.1235813076
509	0.1235733562
510	0.1235549481
511	0.1235183003
512	0.1235119208
513	0.123484531
514	0.1234492464
515	0.1234367966
516	0.1234201669
517	0.1234136052
518	0.1233937439
519	0.1233790144
520	0.1233606782
521	0.1233519004
522	0.1233308704
523	0.1232994538
524	0.1232606836
525	0.1232502068
526	0.123234957
527	0.1232051268
528	0.1231925857
529	0.123175017
530	0.1231512009
531	0.1231371888
532	0.1231022635
533	0.1230814997
534	0.1230695098
535	0.1230521321
536	0.1230403069
537	0.1230303952
538	0.1230130658
539	0.1229980593
540	0.1229833124
541	0.1229724285
542	0.1229570354
543	0.1229382937
544	0.1229265259
545	0.1228981223
546	0.1228872678
547	0.1228641917
548	0.1228483078
549	0.1228340439
550	0.1228182969
551	0.1227927914
552	0.1227773855
553	0.1227591707
554	0.1227372398
555	0.122728147
556	0.1227062167
557	0.1226869692
558	0.1226791222
559	0.1226575011
560	0.122635445
561	0.1226223718
562	0.122613449
563	0.1225943313
564	0.1225830296
565	0.1225698338
566	0.1225543033
567	0.12253067
568	0.1225202839
569	0.122507449
570	0.1224968156
571	0.1224856414
572	0.1224695217
573	0.1224556708
574	0.1224468079
575	0.122424352
576	0.1224115777
577	0.1223979114
578	0.1223816157
579	0.1223401351
580	0.1223239908
581	0.1222902487
582	0.1222675224
583	0.1222576867
584	0.1222365673
585	0.1222230922
586	0.1222088491
587	0.1221908397
588	0.1221732761
589	0.1221647933
590	0.1221523357
591	0.1221358589
592	0.1221163469
593	0.1221032162
594	0.1220860305
595	0.1220689385
596	0.1220453412
597	0.1220365438
598	0.1220254944
599	0.122001281
600	0.1219903498
601	0.1219757298
602	0.1219591975
603	0.1219312637
604	0.1219193955
605	0.1219048076
606	0.1218960744
607	0.1218808905
608	0.1218544455
609	0.1218414115
610	0.1218313859
611	0.1218140287
612	0.1217966184
613	0.1217729231
614	0.121761942
615	0.1217344298
616	0.1217010166
617	0.1216864105
618	0.1216726357
619	0.1216559768
620	0.1216240852
621	0.1216049788
622	0.1215959822
623	0.1215852794
624	0.1215727566
625	0.1215616877
626	0.1215453002
627	0.1215211658
628	0.1214967941
629	0.1214713796
630	0.1214496771
631	0.1214322019
632	0.1214197325
633	0.121407265
634	0.1213806605
635	0.1213639199
636	0.1213519864
637	0.1213397855
638	0.1213200983
639	0.1213092036
640	0.1212980038
641	0.1212854218
642	0.1212732306
643	0.121251453
644	0.1212339013
645	0.1212136294
646	0.1212038762
647	0.1211901975
648	0.1211789136
649	0.1211437246
650	0.1211264353
651	0.121116843
652	0.1211049438
653	0.1210928723
654	0.121087382
655	0.1210701389
656	0.1210460168
657	0.1210227171
658	0.1210026804
659	0.1209860061
660	0.1209746263
661	0.1209613817
662	0.1209427541
663	0.1209300499
664	0.1209185634
665	0.1209099976
666	0.1208920036
667	0.1208801952
668	0.1208643392
669	0.1208478568
670	0.1208329804
671	0.1208135136
672	0.1207969625
673	0.1207799207
674	0.120768057
675	0.1207535367
676	0.1207352848
677	0.1207147551
678	0.1207004453
679	0.1206863713
680	0.1206739381
681	0.1206684867
682	0.1206451865
683	0.1206253855
684	0.1206134124
685	0.1206049695
686	0.1205941018
687	0.1205801832
688	0.1205557023
689	0.1205423838
690	0.1205297672
691	0.1205055301
692	0.1204915198
693	0.1204721397
694	0.1204619777
695	0.1204453476
696	0.1204290456
697	0.1204158195
698	0.1204016407
699	0.1203774755
700	0.1203659999
701	0.1203478989
702	0.1203227
703	0.1203054392
704	0.1202977203
705	0.1202838526
706	0.1202653702
707	0.1202504344
708	0.1202331079
709	0.1202227091
710	0.120206179
711	0.1201928857
712	0.1201811639
713	0.1201608458
714	0.1201485402
715	0.1201345017
716	0.1201248812
717	0.120112472
718	0.1201000594
719	0.1200878763
720	0.1200711772
721	0.1200562612
722	0.120036854
723	0.1200210556
724	0.1200008838
725	0.119972824
726	0.1199559603
727	0.1199489632
728	0.1199390052
729	0.1199277307
730	0.1199162456
731	0.1199052882
732	0.1198890364
733	0.1198732976
734	0.1198579557
735	0.1198349073
736	0.1198198797
737	0.1198045562
738	0.1197911218
739	0.1197814919
740	0.1197687578
741	0.1197606977
742	0.119742491
743	0.1197278123
744	0.119714123
745	0.1197028722
746	0.1196850084
747	0.1196788425
748	0.1196629891
749	0.119647031
750	0.1196383239
751	0.1196264562
752	0.119602578
753	0.1195929962
754	0.119577718
755	0.1195666265
756	0.1195511758
757	0.1195332644
758	0.1195163611
759	0.119504831
760	0.1194902751
761	0.1194796719
762	0.119462721
763	0.1194438864
764	0.1194247191
765	0.1194126633
766	0.1193893852
767	0.1193781296
768	0.1193532587
769	0.119336475
770	0.1193242341
771	0.119314078
772	0.1192977014
773	0.1192824789
774	0.1192754379
775	0.1192606355
776	0.1192358309
777	0.1192129005
778	0.1192001317
779	0.1191898617
780	0.1191653689
781	0.1191510594
782	0.1191433249
783	0.1191329697
784	0.1191053249
785	0.1190878524
786	0.119078821
787	0.119052543
788	0.119034156
789	0.1190169128
790	0.1190070492
791	0.1190006177
792	0.1189832512
793	0.1189704748
794	0.1189577037
795	0.1189470241
796	0.1189363843
797	0.1189223941
798	0.1189097516
799	0.118898871
800	0.1188940084
801	0.1188825661
802	0.1188735628
803	0.1188678795
804	0.1188482134
805	0.1188352373
806	0.1188253705
807	0.1188168827
808	0.1188006134
809	0.1187863402
810	0.1187697316
811	0.1187624916
812	0.1187537408
813	0.1187355107
814	0.1187191095
815	0.1186969381
816	0.1186881102
817	0.1186760366
818	0.1186698
819	0.1186548597
820	0.118645738
821	0.1186257157
822	0.1186201737
823	0.1186086902
824	0.1186003052
825	0.1185901365
826	0.1185796744
827	0.1185651358
828	0.118549678
829	0.1185339518
830	0.1185217531
831	0.1185136782
832	0.1185017613
833	0.1184831579
834	0.1184792812
835	0.1184654194
836	0.1184567286
837	0.1184506606
838	0.1184371281
839	0.1184224605
840	0.1184006329
841	0.1183889232
842	0.1183828877
843	0.1183622773
844	0.1183475277
845	0.1183346891
846	0.1183183506
847	0.1183069865
848	0.1182948706
849	0.1182787786
850	0.1182706927
851	0.1182567212
852	0.1182379766
853	0.1182275275
854	0.1182230839
855	0.1182148903
856	0.1182018368
857	0.1181909998
858	0.118176565
859	0.1181506589
860	0.1181276535
861	0.1180967938
862	0.1180789458
863	0.1180639195
864	0.1180456422
865	0.1180297866
866	0.1180163821
867	0.1180047461
868	0.1179860877
869	0.1179699076
870	0.1179429987
871	0.1179356855
872	0.1179221175
873	0.1179050244
874	0.1178983197
875	0.1178887233
876	0.1178776746
877	0.1178624204
878	0.1178439222
879	0.1178362594
880	0.1178225411
881	0.1178045847
882	0.1177943708
883	0.1177832385
884	0.1177705795
885	0.1177648511
886	0.1177534119
887	0.1177433983
888	0.1177323529
889	0.1177151405
890	0.1177049744
891	0.1176927532
892	0.1176838552
893	0.1176620454
894	0.1176457542
895	0.1176256462
896	0.1176076673
897	0.1175999486
898	0.1175885771
899	0.1175813978
900	0.1175701444
901	0.1175596182
902	0.1175498089
903	0.1175196588
904	0.1175126504
905	0.1175038614
906	0.1174931097
907	0.1174791748
908	0.1174651775
909	0.1174466424
910	0.1174413525
911	0.1174188531
912	0.1174031986
913	0.1173876182
914	0.1173777028
915	0.1173653043
916	0.1173559178
917	0.1173495614
918	0.1173380809
919	0.1173253545
920	0.1173140399
921	0.1172998272
922	0.1172862958
923	0.1172812684
924	0.1172678076
925	0.1172524467
926	0.1172428873
927	0.1172283901
928	0.1172146432
929	0.1172000608
930	0.11718843
931	0.1171725318
932	0.1171641115
933	0.1171422971
934	0.1171359752
935	0.1171263351
936	0.1171166107
937	0.1171063162
938	0.1170861858
939	0.1170661228
940	0.117055488
941	0.1170456443
942	0.1170343748
943	0.1170243751
944	0.117016137
945	0.1170050084
946	0.1169865979
947	0.116972767
948	0.1169630063
949	0.1169519005
950	0.1169475257
951	0.1169356095
952	0.1169286573
953	0.1169173338
954	0.1168983344
955	0.1168872409
956	0.1168798826
957	0.116866297
958	0.1168581202
959	0.1168486359
960	0.1168407342
961	0.1168286832
962	0.1168186935
963	0.1168061544
964	0.1167960806
965	0.1167859867
966	0.1167740808
967	0.1167605945
968	0.1167486858
969	0.1167387286
970	0.1167105486
971	0.1166973052
972	0.1166911788
973	0.1166691633
974	0.1166595965
975	0.1166525898
976	0.1166334459
977	0.1166202682
978	0.1166133548
979	0.1166006801
980	0.1165824717
981	0.1165689383
982	0.1165624948
983	0.11653876
984	0.1165298645
985	0.1165241946
986	0.1165236925
987	0.1165165179
988	0.1165060543
989	0.1164901899
990	0.1164824416
991	0.1164707558
992	0.116458299
993	0.1164476149
994	0.1164409916
995	0.1164180662
996	0.1164059542
997	0.1163904601
998	0.1163749197
999	0.1163616641
1000	0.1163536537
1001	0.1163420169
1002	0.1163343092
1003	0.1163192717
1004	0.1163096014
1005	0.1162918728
1006	0.116282119
1007	0.1162655114
1008	0.1162545992
1009	0.1162449978
1010	0.1162363819
1011	0.1162255319
1012	0.1162084169
1013	0.1161933292
1014	0.1161857649
1015	0.1161799324
1016	0.1161681817
1017	0.1161627392
1018	0.1161550961
1019	0.1161471646
1020	0.1161411902
1021	0.1161249275
1022	0.1161168807
1023	0.1160993458
1024	0.1160870796
1025	0.1160718782
1026	0.1160555315
1027	0.1160416573
1028	0.1160313675
1029	0.1160230475
1030	0.1160127136
1031	0.1160070696
1032	0.1160031824
1033	0.115995395
1034	0.1159851236
1035	0.1159755265
1036	0.1159664303
1037	0.1159566624
1038	0.1159507956
1039	0.1159343494
1040	0.1159250206
1041	0.1159143561
1042	0.1159082761
1043	0.1158984775
1044	0.1158910531
1045	0.1158813624
1046	0.1158701615
1047	0.1158565337
1048	0.1158485521
1049	0.1158299462
1050	0.1158123011
1051	0.1158044292
1052	0.115804281
1053	0.1157953957
1054	0.1157866517
1055	0.1157779916
1056	0.1157645594
1057	0.1157550004
1058	0.1157459161
1059	0.1157370706
1060	0.1157255933
1061	0.1157183133
1062	0.1157030282
1063	0.1156933018
1064	0.1156867529
1065	0.115676102
1066	0.1156597419
1067	0.1156535835
1068	0.1156427773
1069	0.1156340012
1070	0.1156191451
1071	0.115614353
1072	0.1155996942
1073	0.1155885932
1074	0.1155688658
1075	0.1155562422
1076	0.1155546058
1077	0.1155397809
1078	0.1155349731
1079	0.1155279261
1080	0.1155152635
1081	0.1155056824
1082	0.1154959065
1083	0.115486696
1084	0.11547456
1085	0.1154709088
1086	0.1154590915
1087	0.1154528727
1088	0.1154395929
1089	0.1154290017
1090	0.1154187834
1091	0.1154098391
1092	0.1154020624
1093	0.1153937738
1094	0.1153926232
1095	0.1153873755
1096	0.1153789514
1097	0.1153676481
1098	0.1153584656
1099	0.1153529795
1100	0.1153386924
1101	0.1153330996
1102	0.1153181262
1103	0.1153062258
1104	0.1152987271
1105	0.1152983577
1106	0.115287505
1107	0.1152743624
1108	0.1152659353
1109	0.1152558541
1110	0.1152440659
1111	0.1152284542
1112	0.1152175892
1113	0.1152064487
1114	0.1152012365
1115	0.1151947699
1116	0.1151734994
1117	0.1151627763
1118	0.1151504509
1119	0.115134799
1120	0.1151245591
1121	0.1151153405
1122	0.1151141792
1123	0.1151023441
1124	0.1150905678
1125	0.1150833895
1126	0.1150716059
1127	0.1150604734
1128	0.1150494063
1129	0.1150342219
1130	0.1150260579
1131	0.1150200934
1132	0.1150104972
1133	0.1149996383
1134	0.1149897269
1135	0.1149757706
1136	0.1149655385
1137	0.1149601097
1138	0.1149482692
1139	0.1149364621
1140	0.1149308954
1141	0.1149185147
1142	0.1149146815
1143	0.1149028498
1144	0.1148964187
1145	0.1148884636
1146	0.1148800636
1147	0.1148661215
1148	0.1148546339
1149	0.114848639
1150	0.1148384493
1151	0.1148283641
1152	0.1148190402
1153	0.1148087925
1154	0.114786527
1155	0.1147787
1156	0.1147633979
1157	0.1147620448
1158	0.1147487878
1159	0.1147381529
1160	0.1147255486
1161	0.1147129769
1162	0.1146983272
1163	0.1146888332
1164	0.1146811877
1165	0.1146719749
1166	0.1146678154
1167	0.1146589492
1168	0.1146557395
1169	0.114648402
1170	0.1146423024
1171	0.1146359505
1172	0.1146258091
1173	0.1146164063
1174	0.11460751
1175	0.1146001606
1176	0.1145859355
1177	0.114583436
1178	0.1145696101
1179	0.1145581714
1180	0.114548505
1181	0.1145461106
1182	0.1145364248
1183	0.1145230944
1184	0.1145114834
1185	0.1145022976
1186	0.114495223
1187	0.1144898543
1188	0.1144798718
1189	0.1144718396
1190	0.1144585391
1191	0.1144507195
1192	0.1144383967
1193	0.1144367216
1194	0.114426907
1195	0.1144195348
1196	0.1144104415
1197	0.1144002963
1198	0.1143829776
1199	0.1143754211
1200	0.1143688081
1201	0.1143514539
1202	0.1143429866
1203	0.1143397792
1204	0.114329118
1205	0.1143182427
1206	0.114313719
1207	0.1143086432
1208	0.1142917465
1209	0.1142861989
1210	0.1142775839
1211	0.1142770319
1212	0.1142641756
1213	0.1142513346
1214	0.1142379227
1215	0.1142284098
1216	0.114219743
1217	0.1142098836
1218	0.1141980188
1219	0.114189755
1220	0.1141833127
1221	0.1141689024
1222	0.1141615861
1223	0.1141546172
1224	0.1141478162
1225	0.1141345929
1226	0.1141282205
1227	0.1141198652
1228	0.1141154186
1229	0.1141097126
1230	0.1140989825
1231	0.1140904834
1232	0.1140815626
1233	0.1140747425
1234	0.1140628719
1235	0.1140545601
1236	0.1140395711
1237	0.1140301063
1238	0.1140225204
1239	0.1140126194
1240	0.1140074626
1241	0.1139996091
1242	0.113999127
1243	0.1139934963
1244	0.1139862621
1245	0.1139712634
1246	0.1139521765
1247	0.1139464676
1248	0.1139320322
1249	0.1139226956
1250	0.1139100818
1251	0.1139041967
1252	0.1138902491
1253	0.1138824053
1254	0.1138747202
1255	0.1138664168
1256	0.1138572398
1257	0.1138509534
1258	0.1138507401
1259	0.1138473701
1260	0.1138396316
1261	0.1138329621
1262	0.1138234595
1263	0.1138176175
1264	0.1138115592
1265	0.1138011961
1266	0.1137902505
1267	0.1137753398
1268	0.1137548392
1269	0.113753508
1270	0.1137467
1271	0.113742123
1272	0.1137376723
1273	0.1137252003
1274	0.1137108063
1275	0.1137061674
1276	0.1137053227
1277	0.113696941
1278	0.1136883268
1279	0.1136703996
1280	0.1136551225
1281	0.1136485299
1282	0.1136293228
1283	0.1136193384
1284	0.1136104743
1285	0.1135993871
1286	0.1135906402
1287	0.1135858259
1288	0.113575263
1289	0.113569785
1290	0.1135595768
1291	0.1135537962
1292	0.1135429725
1293	0.1135355364
1294	0.1135273821
1295	0.1135208749
1296	0.1135138164
1297	0.1135082932
1298	0.1134995147
1299	0.1134971699
1300	0.1134830075
1301	0.1134703235
1302	0.1134602544
1303	0.1134474535
1304	0.1134402485
1305	0.1134231016
1306	0.1134222031
1307	0.113410307
1308	0.1134036663
1309	0.1133950692
1310	0.1133872838
1311	0.1133709395
1312	0.1133674299
1313	0.1133549218
1314	0.1133443519
1315	0.1133296472
1316	0.1133141047
1317	0.1133012877
1318	0.1132938944
1319	0.1132819948
1320	0.113270669
1321	0.113264348
1322	0.1132554666
1323	0.1132456729
1324	0.1132353391
1325	0.113230686
1326	0.1132219318
1327	0.113216631
1328	0.1132091934
1329	0.1132028816
1330	0.113196305
1331	0.1131908961
1332	0.1131857099
1333	0.1131796186
1334	0.1131716817
1335	0.1131623965
1336	0.1131524981
1337	0.1131419059
1338	0.1131327376
1339	0.1131217695
1340	0.1131125136
1341	0.1131027295
1342	0.1130978887
1343	0.1130885038
1344	0.1130785345
1345	0.1130735974
1346	0.1130653485
1347	0.1130551355
1348	0.1130405227
1349	0.1130250918
1350	0.1130147873
1351	0.1130015863
1352	0.1129931643
1353	0.1129854146
1354	0.1129795599
1355	0.1129711906
1356	0.1129640863
1357	0.1129555923
1358	0.112946366
1359	0.1129362867
1360	0.1129295731
1361	0.112917838
1362	0.1129114599
1363	0.1129066748
1364	0.1128998317
1365	0.1128953043
1366	0.1128739496
1367	0.1128630746
1368	0.1128499325
1369	0.112845424
1370	0.1128369341
1371	0.1128264251
1372	0.1128198608
1373	0.1128095228
1374	0.1127974283
1375	0.1127902881
1376	0.1127849557
1377	0.1127735555
1378	0.1127625521
1379	0.1127489404
1380	0.1127400103
1381	0.112735775
1382	0.1127299605
1383	0.1127253904
1384	0.112716808
1385	0.1127112365
1386	0.1127073557
1387	0.1126975464
1388	0.1126934163
1389	0.1126863196
1390	0.1126779138
1391	0.1126744713
1392	0.1126561967
1393	0.1126498211
1394	0.1126396262
1395	0.1126310862
1396	0.1126200027
1397	0.1126098662
1398	0.1126007154
1399	0.112590912
1400	0.1125796996
1401	0.1125724031
1402	0.1125619259
1403	0.1125565394
1404	0.1125455308
1405	0.1125398687
1406	0.1125371693
1407	0.1125351386
1408	0.112524318
1409	0.1125170755
1410	0.1125076703
1411	0.1124875933
1412	0.1124794008
1413	0.1124717609
1414	0.112462739
1415	0.1124577395
1416	0.1124535732
1417	0.1124481969
1418	0.1124386469
1419	0.112432559
1420	0.1124187366
1421	0.1124078612
1422	0.1123971385
1423	0.1123886618
1424	0.1123813394
1425	0.1123703482
1426	0.1123611841
1427	0.1123557449
1428	0.1123516274
1429	0.1123469492
1430	0.1123388986
1431	0.1123299364
1432	0.1123204558
1433	0.1123106329
1434	0.1123027333
1435	0.1122927145
1436	0.1122830646
1437	0.1122770406
1438	0.1122718389
1439	0.112258578
1440	0.1122461475
1441	0.1122407113
1442	0.1122330792
1443	0.1122269855
1444	0.1122136415
1445	0.11220059
1446	0.1121876358
1447	0.1121794803
1448	0.112171147
1449	0.112166766
1450	0.112153056
1451	0.1121436815
1452	0.1121400751
1453	0.112137564
1454	0.1121293715
1455	0.1121258571
1456	0.1121193383
1457	0.112113201
1458	0.1121096031
1459	0.1120995618
1460	0.112097254
1461	0.112088455
1462	0.1120776013
1463	0.1120649654
1464	0.1120604014
1465	0.1120600623
1466	0.1120511201
1467	0.1120326735
1468	0.1120243388
1469	0.1120216252
1470	0.1120154667
1471	0.112006158
1472	0.1119991692
1473	0.1119902674
1474	0.1119881265
1475	0.1119767077
1476	0.1119664689
1477	0.1119576083
1478	0.1119551068
1479	0.1119503619
1480	0.1119438314
1481	0.1119391525
1482	0.1119311548
1483	0.1119227914
1484	0.1119195919
1485	0.1119140149
1486	0.1119088188
1487	0.1119033164
1488	0.1118878811
1489	0.1118826327
1490	0.1118721417
1491	0.1118698215
1492	0.1118597114
1493	0.1118582483
1494	0.1118403785
1495	0.111832762
1496	0.1118267089
1497	0.1118193964
1498	0.1118094996
1499	0.1118093249
1500	0.1118031629
1501	0.1117991281
1502	0.1117946707
1503	0.1117872998
1504	0.1117833373
1505	0.1117744051
1506	0.1117710161
1507	0.1117663801
1508	0.1117584151
1509	0.1117553301
1510	0.1117488242
