Controller,April,September,Total
Baseline A,-9.2892,1.8522,-7.436999999999999
Baseline B,25.872,42.8669,68.7389
Oracle (H=96),-20.1259,-0.0184,-20.1443
Our MPC LGBM H=96,-19.7828,0.6213,-19.1615
Our MPC LGBM H=192,-20.5305,-1.3082,-21.8387
Our MPC LGBM H=672,-21.241,-1.2842,-22.525199999999998
