H,april,sept,total,vs_a,time
4,23.2821,40.4265,63.7086,71.2786,19.97813057899475
8,10.1931,29.8728,40.0659,47.6359,31.172935962677002
16,-1.5691,18.778,17.2089,24.7789,24.57121181488037
24,-6.9819,13.3048,6.3229,13.892900000000001,24.664260864257812
48,-19.0782,2.2579,-16.8203,-9.2503,39.22296762466431
96,-19.8086,0.7023,-19.1063,-11.5363,84.95416927337646
