H,april,sept,total,vs_a,time
4,23.3248,40.5675,63.8923,71.4623,25.948198556900024
8,10.2413,30.0527,40.294,47.864,27.373459815979004
16,-1.4597,19.0232,17.5635,25.1335,22.191600561141968
24,-6.858,13.5181,6.6601,14.2301,24.116981029510498
48,-18.9418,2.2891,-16.6527,-9.082699999999999,30.515244483947754
96,-19.599,0.8076,-18.7914,-11.2214,52.47637915611267
