H,april,sept,total,vs_a,time
4,23.2599,40.3579,63.6178,71.18780000000001,12.514528274536133
8,10.0349,29.6795,39.7144,47.2844,13.804560899734497
16,-1.5344,18.6866,17.1522,24.7222,16.779805660247803
24,-6.92,13.3209,6.4009,13.9709,20.352962970733643
48,-18.604,2.3471,-16.2569,-8.686900000000001,26.09525752067566
96,-19.1278,0.9011,-18.2267,-10.6567,44.13466167449951
