H,april,sept,total,vs_a,time
4,23.2627,40.4522,63.7149,71.2849,11.803883790969849
8,10.1771,29.9115,40.0886,47.6586,14.173549175262451
16,-1.4548,18.8213,17.3665,24.9365,19.20417547225952
24,-7.0755,13.2924,6.2169,13.7869,21.05929946899414
48,-18.9801,2.2652,-16.7149,-9.1449,30.288607120513916
96,-19.6047,0.7189,-18.8858,-11.3158,63.66258358955383
